1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
0	-0.865196	-0.449851	-0.415346	0.000000	0.000000	800.596828	0.002688	0.002215	0.000000	0.003327	1.0	1.6	1.1	208.8
1	-0.896673	-0.499467	-0.397206	0.000000	0.000000	800.596828	0.004183	0.005898	0.000000	0.009089	1.2	1.9	1.3	8.1
2	-0.883197	-0.476451	-0.406746	0.000000	0.000000	800.596828	0.002043	0.002818	0.000000	0.004069	1.4	1.8	1.4	8.5
3	-0.887628	-0.481903	-0.405725	0.000000	0.000000	800.596828	0.002346	0.002105	0.000000	0.003211	1.1	2.0	1.2	8.3
4	-0.852069	-0.461195	-0.390874	0.000000	0.000000	800.596828	0.002037	0.004586	0.000000	0.004721	1.0	1.9	1.1	6.0
5	-0.921000	-0.484867	-0.436133	0.000000	0.000000	800.596828	0.003176	0.006081	0.000000	0.004045	1.0	1.8	1.3	6.1
6	-0.876052	-0.478957	-0.397094	0.000000	0.000000	800.596828	0.003642	0.005314	0.000000	0.003981	1.1	1.7	1.0	5.8
7	-0.921618	-0.513912	-0.407706	0.000000	0.000000	800.596828	0.002328	0.005795	0.000000	0.006727	1.2	1.9	1.4	6.3
8	-0.877507	-0.449024	-0.428483	0.000000	0.000000	800.596828	0.001762	0.002250	0.000000	0.003178	1.1	1.8	1.1	5.8
9	-0.926964	-0.504288	-0.422677	0.000000	0.000000	800.596828	0.001343	0.002251	0.000000	0.002677	1.2	1.8	1.5	9.8
10	-0.928068	-0.498710	-0.429358	0.000000	0.000000	800.596828	0.001761	0.002141	0.000000	0.003087	1.6	1.8	1.3	8.8
11	-0.947608	-0.524124	-0.423483	0.000000	0.000000	800.596828	0.002291	0.004379	0.000000	0.003860	1.3	2.0	1.4	8.7
12	-0.915695	-0.496189	-0.419506	0.000000	0.000000	800.596828	0.001571	0.005654	0.000000	0.006507	1.5	2.1	1.1	9.0
13	-0.956495	-0.514769	-0.441727	0.000000	0.999122	764.236570	0.001943	0.008319	0.000000	0.009788	1.3	1.9	1.2	8.3
14	-0.930202	-0.500907	-0.429296	0.000000	1.999122	731.007624	0.001330	0.002222	0.000000	0.002672	1.2	1.9	1.2	8.3
15	-0.910170	-0.493736	-0.416434	0.000000	2.956122	701.805299	0.002369	0.004010	0.000000	0.005727	1.5	1.7	1.2	8.3
16	-0.907134	-0.494476	-0.412659	0.000000	2.385686	718.924120	0.003726	0.010760	0.000000	0.013456	1.2	1.6	1.1	8.1
17	-0.922687	-0.503767	-0.418920	0.000000	1.828451	736.472791	0.002172	0.003020	0.000000	0.004732	1.2	1.7	1.1	7.8
18	-0.939956	-0.524277	-0.415679	0.000000	1.034794	762.999335	0.002131	0.002782	0.000000	0.004501	1.4	1.7	1.1	7.9
19	-0.927504	-0.501118	-0.426385	0.000000	0.241137	791.508163	0.002305	0.003122	0.000000	0.003266	1.3	1.7	1.1	7.9
20	-0.936712	-0.515488	-0.421225	0.000000	1.240712	755.935045	0.002608	0.003951	0.000000	0.003737	1.0	1.6	2.2	8.5
21	-0.943538	-0.507862	-0.435677	0.000000	0.447138	783.905694	0.001756	0.002877	0.000000	0.003449	1.2	2.0	1.3	8.6
22	-0.936880	-0.505867	-0.431014	0.000000	0.000000	800.596828	0.002161	0.002454	0.000000	0.002984	1.2	1.7	1.1	7.9
23	-0.911981	-0.491557	-0.420424	0.000000	0.000000	800.596828	0.002890	0.005315	0.000000	0.004084	1.2	2.0	1.3	6.3
