1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	114.955515	0.000000	5.618935	1.438966	400.5
1	101.245065	0.000000	5.618935	1.322862	20.6
2	93.309544	0.000000	5.618935	1.264633	20.8
3	82.573590	0.000000	5.618935	1.163852	20.9
4	76.431038	0.000000	5.618935	1.124710	22.2
5	74.784211	0.000000	5.618935	1.119177	19.0
6	63.323173	0.000000	5.618935	1.000655	22.3
7	58.484832	0.000000	5.618935	0.955076	21.1
8	53.575541	0.000000	5.618935	0.899075	19.3
9	48.253867	0.000000	5.618935	0.841131	20.2
10	45.033116	0.000000	5.618935	0.804302	20.8
11	40.387912	0.000000	5.618935	0.747138	22.0
12	38.048551	0.000000	5.618935	0.716992	23.2
13	35.333324	0.000000	5.618935	0.686758	20.6
14	33.776821	0.000000	5.618935	0.665738	20.5
15	30.507113	0.000000	5.618935	0.618519	22.3
16	28.507105	0.000000	5.618935	0.597630	21.9
17	26.152210	0.000000	5.618935	0.559497	20.8
18	24.986994	0.000000	5.618935	0.537400	25.1
19	22.366475	0.000000	5.618935	0.499058	22.6
20	21.950236	0.000000	5.618935	0.495820	23.7
21	20.745598	0.000000	5.618935	0.470906	21.9
22	18.811871	0.000000	5.618935	0.439292	23.9
23	18.573544	0.000000	5.618935	0.440105	22.4
24	17.200174	0.000000	5.618935	0.417153	22.9
25	15.658632	0.000000	5.618935	0.382452	20.9
26	15.009050	0.000000	5.618935	0.372398	20.6
27	14.667142	0.000000	5.618935	0.363501	23.5
28	13.656047	0.000000	5.618935	0.347917	22.2
29	13.166072	0.000000	5.618935	0.337722	19.3
30	12.722276	0.000000	5.618935	0.328984	25.8
31	11.943214	0.000000	5.618935	0.311088	21.9
32	11.505158	0.000000	5.618935	0.303017	21.2
33	11.295645	0.000000	5.618935	0.301575	18.7
34	10.460647	0.000000	5.618935	0.280575	21.4
35	10.347308	0.000000	5.618935	0.283786	21.5
36	9.680134	0.000000	5.618935	0.265310	24.6
37	9.076156	0.000000	5.618935	0.248954	21.2
38	9.051173	0.000000	5.618935	0.251608	21.7
39	8.552548	0.000000	5.618935	0.237707	19.1
40	8.200685	0.000000	5.618935	0.230193	22.0
41	7.924119	0.000000	5.618935	0.227463	23.7
42	7.841385	0.000000	5.618935	0.225809	23.2
43	7.566260	0.000000	5.618935	0.217504	20.6
44	7.089168	0.000000	5.618935	0.201718	21.6
45	6.507668	0.000000	5.618935	0.187972	22.8
46	6.717382	0.000000	5.618935	0.194299	20.3
47	6.674429	0.000000	5.618935	0.195926	23.0
48	5.939264	0.000000	5.618935	0.171521	23.6
49	6.204484	0.000000	5.618935	0.179665	23.3
50	5.824698	0.000000	5.618935	0.170519	21.6
51	5.950749	0.000000	5.618935	0.177989	23.2
52	5.589257	0.000000	5.618935	0.164798	24.1
53	5.540970	0.000000	5.618935	0.163641	20.4
54	5.304599	0.000000	5.618935	0.160983	22.5
55	5.139055	0.000000	5.618935	0.152478	20.6
56	4.960581	0.000000	5.618935	0.146675	18.8
57	4.847274	0.000000	5.618935	0.143867	21.8
58	4.783755	0.000000	5.618935	0.144210	22.8
59	4.665242	0.000000	5.618935	0.141223	23.4
60	4.562812	0.000000	5.618935	0.139364	23.0
61	4.463017	0.000000	5.618935	0.135742	21.3
62	4.430093	0.000000	5.618935	0.134679	21.7
63	4.376964	0.000000	5.618935	0.135104	19.6
64	4.261361	0.000000	5.618935	0.131592	21.7
65	4.114054	0.000000	5.618935	0.126734	20.8
66	3.888274	0.000000	5.618935	0.118345	22.0
67	3.908201	0.000000	5.618935	0.118182	20.3
68	3.866512	0.000000	5.618935	0.121334	23.4
69	3.656272	0.000000	5.618935	0.113429	20.5
70	3.787552	0.000000	5.618935	0.119087	18.7
71	3.615692	0.000000	5.618935	0.113280	20.1
72	3.451662	0.000000	5.618935	0.106005	22.8
73	3.469544	0.000000	5.618935	0.107235	21.9
74	3.360199	0.000000	5.618935	0.102778	20.1
75	3.372547	0.000000	5.618935	0.105137	18.2
76	3.247604	0.000000	5.618935	0.099871	31.7
77	3.283887	0.000000	5.618935	0.102964	20.6
78	3.160361	0.000000	5.618935	0.096849	21.0
79	3.154514	0.000000	5.618935	0.098098	20.1
80	3.185222	0.000000	5.618935	0.099968	22.6
81	3.012144	0.000000	5.618935	0.094445	23.9
82	2.927051	0.000000	5.618935	0.091032	20.0
83	2.971721	0.000000	5.618935	0.092236	18.8
84	2.922662	0.000000	5.618935	0.089907	20.0
85	2.777909	0.000000	5.618935	0.086820	21.4
86	2.822839	0.000000	5.618935	0.086904	26.1
87	2.710984	0.000000	5.618935	0.081446	25.2
88	2.739796	0.000000	5.618935	0.085539	20.3
89	2.651716	0.000000	5.618935	0.082756	18.4
90	2.672726	0.000000	5.618935	0.081401	19.8
91	2.695267	0.000000	5.618935	0.082198	22.7
92	2.573835	0.000000	5.618935	0.078706	20.6
93	2.480899	0.000000	5.618935	0.075352	22.0
94	2.493916	0.000000	5.618935	0.076600	21.9
95	2.456023	0.000000	5.618935	0.076731	21.7
96	2.515037	0.000000	5.618935	0.077621	18.1
97	2.454568	0.000000	5.618935	0.074595	20.8
98	2.449194	0.000000	5.618935	0.073465	18.4
99	2.362045	0.000000	5.618935	0.070019	21.4
100	2.310713	0.000000	5.618935	0.069490	19.9
101	2.291710	0.000000	5.618935	0.069008	18.5
102	2.281263	0.000000	5.618935	0.068719	20.2
103	2.245442	0.000000	5.618935	0.067809	22.7
104	2.187842	0.000000	5.618935	0.066824	19.2
105	2.231990	0.000000	5.618935	0.067482	19.8
106	2.140978	0.000000	5.618935	0.065378	21.9
107	2.144595	0.000000	5.618935	0.063830	20.5
108	2.086612	0.000000	5.618935	0.061095	20.4
109	2.113640	0.000000	5.618935	0.062115	22.1
110	2.053276	0.000000	5.618935	0.061189	19.3
111	2.122000	0.000000	5.618935	0.063135	21.6
112	2.101550	0.000000	5.618935	0.062501	20.4
113	1.959910	0.000000	5.618935	0.060151	20.6
114	1.992901	0.000000	5.618935	0.059926	20.2
115	1.993162	0.000000	5.618935	0.058410	22.0
116	1.941517	0.000000	5.618935	0.056111	19.7
117	1.967498	0.000000	5.618935	0.059069	20.5
118	1.929791	0.000000	5.618935	0.055673	24.6
119	1.883784	0.000000	5.618935	0.055703	24.0
120	1.875187	0.000000	5.618935	0.054760	22.4
121	1.884377	0.000000	5.618935	0.055826	22.5
122	1.869572	0.000000	5.618935	0.055012	23.6
123	1.849676	0.000000	5.618935	0.053888	23.5
124	1.826002	0.000000	5.618935	0.052481	19.0
125	1.827774	0.000000	5.618935	0.053029	21.4
126	1.786011	0.000000	5.618935	0.051133	22.5
127	1.758078	0.000000	5.618935	0.051277	19.4
128	1.734028	0.000000	5.618935	0.049635	21.7
129	1.701684	0.000000	5.618935	0.048888	21.0
130	1.799515	0.000000	5.618935	0.051954	18.5
131	1.707699	0.000000	5.618935	0.047709	19.5
132	1.774531	0.000000	5.618935	0.049967	20.6
133	1.751096	0.000000	5.618935	0.048900	18.1
134	1.712915	0.000000	5.618935	0.049921	22.1
135	1.727769	0.000000	5.618935	0.048961	26.0
136	1.697439	0.000000	5.618935	0.047291	18.5
137	1.613845	0.000000	5.618935	0.044708	19.8
138	1.636163	0.000000	5.618935	0.045866	22.1
139	1.606970	0.000000	5.618935	0.043457	21.0
140	1.599439	0.000000	5.618935	0.043506	21.0
141	1.581377	0.000000	5.618935	0.042794	23.3
142	1.596882	0.000000	5.618935	0.043659	20.3
143	1.542978	0.000000	5.618935	0.043061	20.9
144	1.536544	0.000000	5.618935	0.042260	21.1
145	1.665402	0.000000	5.618935	0.044982	22.5
146	1.546518	0.000000	5.618935	0.041662	19.8
147	1.597885	0.000000	5.618935	0.043158	19.7
148	1.533191	0.000000	5.618935	0.041993	18.8
149	1.542725	0.000000	5.618935	0.040774	19.6
150	1.502630	0.000000	5.618935	0.041171	20.0
151	1.492114	0.000000	5.618935	0.040715	22.2
152	1.504020	0.000000	5.618935	0.039591	19.8
153	1.511710	0.000000	5.618935	0.041006	20.0
154	1.509023	0.000000	5.618935	0.039527	20.1
155	1.498965	0.000000	5.618935	0.038985	20.8
156	1.454008	0.000000	5.618935	0.038094	20.3
157	1.490472	0.000000	5.618935	0.040079	26.0
158	1.462795	0.000000	5.618935	0.038513	22.2
159	1.475862	0.000000	5.618935	0.038380	21.7
160	1.414064	0.000000	5.618935	0.037866	22.2
161	1.422380	0.000000	5.618935	0.037655	20.9
162	1.409886	0.000000	5.618935	0.036612	24.4
163	1.477564	0.000000	5.618935	0.038278	22.0
164	1.442101	0.000000	5.618935	0.037597	19.8
165	1.426934	0.000000	5.618935	0.036280	21.5
166	1.364482	0.000000	5.618935	0.034661	22.5
167	1.396728	0.000000	5.618935	0.035171	20.7
168	1.461950	0.000000	5.618935	0.037054	23.0
169	1.439411	0.000000	5.618935	0.036814	22.5
170	1.377539	0.000000	5.618935	0.034314	18.8
171	1.337904	0.000000	5.618935	0.034459	22.0
172	1.389927	0.000000	5.618935	0.034028	24.1
173	1.343039	0.000000	5.618935	0.032514	23.4
174	1.411631	0.000000	5.618935	0.034119	24.2
175	1.352177	0.000000	5.618935	0.033946	22.0
176	1.329034	0.000000	5.618935	0.033402	20.8
177	1.352245	0.000000	5.618935	0.034401	20.1
178	1.370830	0.000000	5.618935	0.032934	20.6
179	1.345633	0.000000	5.618935	0.032509	20.9
180	1.287763	0.000000	5.618935	0.031320	20.2
181	1.286189	0.000000	5.618935	0.032424	22.4
182	1.341325	0.000000	5.618935	0.032728	20.8
183	1.303374	0.000000	5.618935	0.032341	20.7
184	1.246529	0.000000	5.618935	0.031162	18.7
185	1.301141	0.000000	5.618935	0.031439	27.0
186	1.243803	0.000000	5.618935	0.029731	21.9
187	1.270306	0.000000	5.618935	0.029830	22.7
188	1.288846	0.000000	5.618935	0.029930	20.6
189	1.255060	0.000000	5.618935	0.030235	24.0
190	1.240345	0.000000	5.618935	0.029604	24.3
191	1.288763	0.000000	5.618935	0.030575	21.6
192	1.240709	0.000000	5.618935	0.029066	24.8
193	1.296832	0.000000	5.618935	0.030699	21.3
194	1.267411	0.000000	5.618935	0.028822	22.1
